iteration,x-axis,y-axix,x-axis,y-axix
69, "x1, -13.56, y1, 100.69, x2, -13.56, y2, -100.69)"
70, "x1, -13.56, y1, 100.69, x2, -13.56, y2, -100.69)"
72, "x, 218.87, y, -37.03)"
73, "x, 129.64, y, 67.69)"
74, "x, 81.51, y, 124.18)"
75, "x, 82.90, y, 120.56)"
76, "x, 194.73, y, -10.69)"
77, "x, 288.93, y, -121.26)"
78, "x, 420.05, y, -275.14)"
79, "x, 582.38, y, -493.57)"
80, "x, 232.86, y, -29.49)"
81, "x, 252.17, y, -78.10)"
82, "x, 252.17, y, -78.10)"
83, "x, 89.84, y, 112.42)"
84, "x, 281.30, y, -116.16)"
85, "x, 191.87, y, -7.33)"
86, "x, 131.60, y, 63.40)"
87, "x, 90.86, y, 111.22)"
88, "x, 116.11, y, 109.70)"
89, "x, 347.62, y, -179.01)"
91, "x, 175.42, y, 11.97)"
92, "x, 101.63, y, 98.58)"
93, "x, 101.63, y, 98.58)"
94, "x, 588.33, y, -472.64)"
95, "x, 588.33, y, -472.64)"
96, "x, 316.74, y, -153.88)"
97, "x, 218.87, y, -39.02)"
98, "x, 218.87, y, -39.02)"
99, "x, 97.73, y, 103.16)"
100, "x, 97.73, y, 103.16)"
101, "x, 104.40, y, 95.32)"
102, "x, 606.38, y, -493.83)"
103, "x, 606.38, y, -493.83)"
104, "x, 628.51, y, -495.15)"
105, "x, 929.98, y, -882.99)"
106, "x, 530.40, y, -404.65)"
107, "x, 391.33, y, -241.43)"
108, "x, 266.46, y, -94.88)"
109, "x, 266.46, y, -94.88)"
110, "x, 266.46, y, -100.61)"
111, "x, 87.89, y, 114.70)"
112, "x, 209.56, y, -28.09)"
113, "x, 455.13, y, -316.31)"
114, "x, 209.56, y, -28.09)"
115, "x, 713.21, y, -651.51)"
116, "x, 470.69, y, -332.58)"
117, "x, 318.40, y, -136.06)"
118, "x, 300.64, y, -134.99)"
119, "x, 300.64, y, -134.99)"
120, "x, 332.76, y, -164.83)"
121, "x, 209.56, y, -42.62)"
122, "x, 148.53, y, 43.54)"
123, "x, 100.29, y, 102.13)"
124, "x, 346.24, y, -188.51)"
125, "x, 235.21, y, -29.63)"
126, "x, 324.99, y, -161.58)"
127, "x, 324.99, y, -161.58)"
128, "x, 197.62, y, -14.09)"
130, "x, 624.75, y, -515.38)"
131, "x, 624.75, y, -560.68)"
132, "x, 460.28, y, -322.36)"
133, "x, 209.56, y, -28.09)"
134, "x, 231.77, y, -54.17)"
135, "x, 177.99, y, 28.73)"
136, "x, 105.84, y, 74.29)"
137, "x, 228.49, y, -50.32)"
138, "x, 133.59, y, 61.06)"
139, "x, 86.09, y, 116.81)"
140, "x, 106.19, y, 115.61)"
141, "x, 1049.39, y, -1013.77)"
142, "x, 840.08, y, -768.11)"
143, "x, 656.05, y, -552.12)"
144, "x, 534.84, y, -380.19)"
145, "x, 509.57, y, -378.68)"
146, "x, 155.45, y, 35.41)"
147, "x, 160.23, y, 29.80)"
148, "x, 95.30, y, 106.00)"
149, "x, 95.30, y, 106.00)"
150, "x, 95.30, y, 106.00)"
151, "x, 95.30, y, 61.35)"
152, "x, 95.30, y, 106.00)"
153, "x, 624.75, y, -515.38)"
154, "x, 635.83, y, -516.05)"
155, "x, 277.54, y, -107.88)"
156, "x, 189.72, y, 14.03)"
157, "x, 172.81, y, 15.04)"
158, "x, 270.12, y, -99.17)"
160, "x, 120.36, y, 76.59)"
161, "x, 145.18, y, 75.11)"
162, "x, 209.56, y, -28.09)"
163, "x, 460.28, y, -322.36)"
164, "x, 288.93, y, -121.26)"
165, "x, 175.42, y, 11.97)"
166, "x, 107.32, y, 91.90)"
167, "x, 707.94, y, -613.02)"
168, "x, 707.94, y, -613.02)"
169, "x, 209.56, y, -28.09)"
170, "x, 209.56, y, -28.09)"
171, "x, 206.52, y, -24.53)"
172, "x, 160.49, y, 16.18)"
173, "x, 96.50, y, 70.60)"
174, "x, 252.17, y, -78.10)"
175, "x, 146.29, y, 46.16)"
176, "x, 108.20, y, 112.42)"
177, "x, 1185.36, y, -1173.35)"
178, "x, 961.06, y, -910.10)"
179, "x, 782.92, y, -701.02)"
180, "x, 600.33, y, -486.72)"
181, "x, 133.59, y, 61.06)"
182, "x, 212.26, y, -28.25)"
183, "x, 209.56, y, -68.11)"
184, "x, 153.10, y, -1.86)"
185, "x, 153.10, y, 38.16)"
186, "x, 818.38, y, -742.64)"
187, "x, 1022.06, y, -975.82)"
188, "x, 1202.98, y, -1221.94)"
189, "x, 847.38, y, -776.68)"
190, "x, 624.75, y, -515.38)"
191, "x, 422.75, y, -275.30)"
192, "x, 294.62, y, -104.75)"
193, "x, 167.67, y, 8.22)"
194, "x, 97.73, y, 90.31)"
195, "x, 228.49, y, -50.32)"
196, "x, 153.10, y, 38.16)"
197, "x, 105.84, y, 93.63)"
198, "x, 762.05, y, -676.53)"
199, "x, 714.58, y, -620.82)"
200, "x, 536.44, y, -386.41)"
201, "x, 329.17, y, -168.48)"
202, "x, 197.62, y, -14.09)"
203, "x, 118.61, y, 42.49)"
204, "x, 118.61, y, 78.65)"
205, "x, 497.31, y, -365.82)"
206, "x, 209.56, y, -28.09)"
207, "x, 209.56, y, -28.09)"
208, "x, 205.62, y, 1.18)"
209, "x, 125.82, y, 70.18)"
210, "x, 136.91, y, 69.52)"
211, "x, 252.17, y, -78.10)"
212, "x, 146.29, y, 46.16)"
213, "x, 89.84, y, 112.42)"
214, "x, 1150.54, y, -1132.48)"
215, "x, 907.04, y, -846.70)"
216, "x, 707.94, y, -613.02)"
217, "x, 155.45, y, 35.41)"
218, "x, 231.77, y, -54.17)"
219, "x, 309.03, y, -167.76)"
220, "x, 197.62, y, -59.38)"
221, "x, 197.62, y, -14.09)"
222, "x, 197.62, y, -14.09)"
223, "x, 197.62, y, -14.09)"
224, "x, 1116.27, y, -1114.60)"
225, "x, 1159.19, y, -1142.63)"
226, "x, 825.58, y, -751.09)"
227, "x, 611.06, y, -474.00)"
228, "x, 428.09, y, -264.80)"
229, "x, 266.46, y, -94.88)"
230, "x, 266.46, y, -94.88)"
231, "x, 93.01, y, 108.69)"
232, "x, 178.08, y, 8.85)"
233, "x, 143.53, y, 79.07)"
234, "x, 83.65, y, 119.68)"
235, "x, 862.09, y, -842.25)"
236, "x, 606.38, y, -542.14)"
237, "x, 420.05, y, -275.14)"
238, "x, 262.83, y, -90.62)"
239, "x, 262.83, y, -90.62)"
240, "x, 91.92, y, 65.99)"
241, "x, 508.20, y, -378.60)"
242, "x, 285.10, y, -116.76)"
243, "x, 270.12, y, -99.17)"
244, "x, 186.04, y, -13.95)"
245, "x, 120.36, y, 57.26)"
246, "x, 141.85, y, 75.31)"
247, "x, 292.80, y, -125.79)"
248, "x, 180.77, y, 5.70)"
249, "x, 135.19, y, 86.83)"
250, "x, 1202.98, y, -1194.03)"
251, "x, 209.56, y, -28.09)"
252, "x, 707.94, y, -613.02)"
253, "x, 209.56, y, -28.09)"
254, "x, 209.56, y, -28.09)"
255, "x, 273.81, y, -146.77)"
256, "x, 191.87, y, -7.33)"
257, "x, 127.71, y, 67.96)"
258, "x, 88.85, y, 113.58)"
259, "x, 1167.88, y, -1152.83)"
260, "x, 1210.68, y, -1219.70)"
261, "x, 1202.98, y, -1194.03)"
262, "x, 937.70, y, -882.68)"
263, "x, 708.36, y, -583.84)"
264, "x, 512.02, y, -360.69)"
265, "x, 178.08, y, 8.85)"
266, "x, 191.87, y, -7.33)"
267, "x, 110.37, y, 88.32)"
268, "x, 191.87, y, -7.33)"
269, "x, 129.64, y, 65.70)"
270, "x, 89.84, y, 112.42)"
271, "x, 968.92, y, -966.78)"
272, "x, 968.92, y, -919.32)"
273, "x, 989.73, y, -920.57)"
274, "x, 346.24, y, -188.51)"
275, "x, 348.94, y, -188.67)"
276, "x, 131.60, y, 32.94)"
277, "x, 82.90, y, 120.56)"
