iteration,x-axis,y-axix,x-axis,y-axix
iteration,x-axis,y-axix,x-axis,y-axix
66, "x, 136.30, y, 83.21"
67, "x, 136.30, y, 83.21"
68, "x, 146.70, y, 71.00"
69, "x, 146.70, y, 61.63"
70, "x, 146.70, y, 71.00"
71, "x, 118.04, y, 104.64"
72, "x, 111.58, y, 112.22"
73, "x, 148.56, y, 46.47"
74, "x, 149.13, y, 68.78"
76, "x, 178.75, y, 34.02"
77, "x, 178.75, y, 34.02"
78, "x, 178.18, y, 34.05"
79, "x, 178.18, y, 34.05"
80, "x, 146.70, y, 71.00"
81, "x, 146.70, y, 71.00"
82, "x, 154.34, y, 62.04"
83, "x, 115.19, y, 112.00"
84, "x, 120.48, y, 105.79"
85, "x, 120.48, y, 81.99"
86, "x, 107.21, y, 97.56"
87, "x, 100.23, y, 97.98"
88, "x, 100.23, y, 121.78"
89, "x, 100.23, y, 121.78"
90, "x, 100.23, y, 121.78"
91, "x, 100.23, y, 121.78"
92, "x, 182.03, y, 25.77"
93, "x, 111.27, y, 108.81"
94, "x, 111.27, y, 108.81"
95, "x, 98.51, y, 75.89"
96, "x, 98.51, y, 123.80"
97, "x, 163.44, y, 47.59"
98, "x, 235.08, y, -36.50"
99, "x, 235.08, y, -36.50"
100, "x, 241.40, y, -43.91"
101, "x, 241.40, y, -43.91"
102, "x, 99.62, y, 122.49"
103, "x, 99.62, y, 122.49"
104, "x, 143.32, y, 71.20"
105, "x, 179.59, y, -12.25"
106, "x, 122.35, y, 95.81"
107, "x, 98.51, y, 123.80"
108, "x, 117.43, y, 104.68"
109, "x, 160.42, y, 54.90"
110, "x, 131.56, y, 50.60"
111, "x, 127.14, y, 93.96"
112, "x, 127.14, y, 93.96"
113, "x, 127.14, y, 93.96"
114, "x, 143.32, y, 55.03"
115, "x, 143.32, y, 71.20"
116, "x, 231.98, y, -32.85"
117, "x, 157.04, y, 55.10"
118, "x, 157.04, y, 55.10"
119, "x, 106.38, y, 98.99"
120, "x, 104.25, y, 120.83"
121, "x, 146.70, y, 43.09"
122, "x, 238.47, y, -36.70"
123, "x, 146.70, y, 71.00"
124, "x, 150.61, y, 70.76"
125, "x, 150.61, y, 70.76"
126, "x, 150.61, y, 70.76"
127, "x, 135.47, y, 88.53"
128, "x, 135.47, y, 88.53"
129, "x, 135.47, y, 88.53"
130, "x, 110.28, y, 118.09"
131, "x, 110.28, y, 118.09"
132, "x, 110.28, y, 118.09"
133, "x, 132.48, y, 92.03"
134, "x, 184.17, y, 25.64"
135, "x, 182.78, y, 25.72"
136, "x, 133.66, y, 83.37"
137, "x, 144.07, y, 71.15"
138, "x, 144.07, y, 71.15"
139, "x, 206.35, y, -1.94"
140, "x, 140.46, y, 40.29"
141, "x, 104.53, y, 82.47"
142, "x, 104.53, y, 117.56"
143, "x, 104.53, y, 117.56"
144, "x, 104.53, y, 117.56"
145, "x, 108.95, y, 99.53"
146, "x, 209.14, y, -14.58"
147, "x, 209.14, y, -5.22"
148, "x, 209.14, y, -5.22"
149, "x, 209.14, y, -5.22"
150, "x, 251.87, y, -55.37"
151, "x, 147.81, y, 70.93"
152, "x, 124.14, y, 98.71"
153, "x, 124.14, y, 98.71"
154, "x, 144.07, y, 71.15"
155, "x, 145.92, y, 68.98"
156, "x, 99.79, y, 123.12"
157, "x, 128.93, y, 88.92"
158, "x, 144.07, y, 71.15"
159, "x, 149.98, y, 70.80"
160, "x, 149.98, y, 70.80"
161, "x, 149.98, y, 70.80"
162, "x, 149.98, y, 70.80"
163, "x, 149.98, y, 70.80"
164, "x, 151.84, y, 68.62"
165, "x, 112.11, y, 68.28"
166, "x, 112.11, y, 68.28"
167, "x, 112.11, y, 68.28"
