iteration,x-axis,y-axix,x-axis,y-axix
61, "x, 90.71, y, 73.06"
62, "x, 63.87, y, 106.61"
63, "x, 77.35, y, 74.01"
64, "x, 89.95, y, 74.01"
65, "x, 103.82, y, 56.67"
66, "x, 89.95, y, 74.01"
67, "x, 89.95, y, 74.01"
68, "x, 89.95, y, 74.01"
69, "x, 89.95, y, 105.81"
70, "x, 89.95, y, 105.81"
71, "x, 106.21, y, 53.69"
72, "x, 89.95, y, 74.01"
73, "x, 89.95, y, 74.01"
74, "x, 89.95, y, 74.01"
75, "x, 89.95, y, 74.01"
76, "x, 66.47, y, 74.01"
77, "x, 103.82, y, 103.29"
78, "x, 103.82, y, 100.22"
79, "x, 95.89, y, 91.43"
80, "x, 89.95, y, 81.92"
81, "x, 98.66, y, 71.03"
82, "x, 106.21, y, 61.59"
83, "x, 117.03, y, 48.06"
84, "x, 117.03, y, 48.06"
85, "x, 89.95, y, 81.92"
86, "x, 89.95, y, 78.04"
87, "x, 89.95, y, 109.50"
88, "x, 80.40, y, 74.01"
89, "x, 94.45, y, 68.39"
90, "x, 88.39, y, 75.97"
91, "x, 89.95, y, 74.01"
92, "x, 89.95, y, 74.01"
93, "x, 67.50, y, 78.04"
94, "x, 89.95, y, 78.04"
95, "x, 107.35, y, 54.29"
96, "x, 89.95, y, 76.05"
97, "x, 89.95, y, 76.05"
98, "x, 81.48, y, 105.81"
99, "x, 89.95, y, 105.81"
100, "x, 66.97, y, 105.81"
101, "x, 113.55, y, 46.55"
102, "x, 89.95, y, 76.05"
103, "x, 89.95, y, 76.05"
104, "x, 89.95, y, 76.05"
105, "x, 89.95, y, 105.81"
106, "x, 89.95, y, 105.81"
107, "x, 105.03, y, 86.96"
108, "x, 89.95, y, 74.01"
109, "x, 89.95, y, 74.01"
110, "x, 89.95, y, 74.01"
111, "x, 89.95, y, 74.01"
112, "x, 72.92, y, 74.01"
113, "x, 103.82, y, 107.82"
114, "x, 101.24, y, 104.58"
115, "x, 89.95, y, 121.92"
116, "x, 89.95, y, 100.32"
117, "x, 89.95, y, 83.79"
118, "x, 97.29, y, 64.84"
119, "x, 110.60, y, 48.21"
120, "x, 119.31, y, 37.32"
121, "x, 88.39, y, 78.00"
122, "x, 89.95, y, 74.01"
123, "x, 105.03, y, 88.23"
124, "x, 78.34, y, 107.08"
125, "x, 89.95, y, 95.79"
126, "x, 102.58, y, 80.00"
127, "x, 89.95, y, 78.04"
128, "x, 89.95, y, 78.04"
129, "x, 88.39, y, 80.00"
130, "x, 89.95, y, 78.04"
131, "x, 89.95, y, 78.04"
132, "x, 89.95, y, 107.08"
133, "x, 89.95, y, 107.08"
134, "x, 89.95, y, 107.08"
135, "x, 70.65, y, 107.08"
136, "x, 83.74, y, 76.05"
137, "x, 89.95, y, 76.05"
138, "x, 97.29, y, 66.88"
139, "x, 89.95, y, 76.05"
140, "x, 81.48, y, 76.05"
141, "x, 89.95, y, 76.05"
142, "x, 89.95, y, 76.05"
143, "x, 89.95, y, 76.05"
144, "x, 89.95, y, 76.05"
145, "x, 83.74, y, 76.05"
146, "x, 89.95, y, 76.05"
